编号,体式,标准/不标准,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,downdog,nonstandard,229.24073,247.61658,-202.11778,218.52628,253.11759,-243.11041,217.22247,252.05808,-243.44676,216.323,250.89805,-243.42995,218.18277,253.66051,-198.64046,216.37173,253.00076,-199.11952,214.59699,252.17458,-199.27421,211.27336,239.67113,-355.71346,207.73058,238.9916,-151.30587,233.66314,233.98478,-231.60281,233.03781,234.34054,-174.57543,243.13778,190.94436,-427.26082,198.11802,181.27822,-23.40808,200.98941,284.19574,-595.91709,156.95097,259.81924,0.43931,135.54813,367.9622,-632.48606,115.16863,344.33175,-182.11544,111.44956,378.20597,-700.6291,92.34301,354.79193,-208.25533,105.0183,373.43097,-680.68706,90.24249,358.20729,-250.6443,113.95411,369.94268,-627.87456,100.53806,356.61471,-208.50302,389.11501,61.34193,-135.73758,364.02239,69.27035,135.50538,465.88287,180.6131,-26.06353,452.0683,184.06932,245.71169,547.38265,287.60408,95.67529,536.44527,278.46403,395.74141,569.52376,306.69692,98.73838,559.93755,298.73095,406.21703,513.82247,336.21642,-24.80891,504.80862,321.23284,315.05692
1,downdog,nonstandard,633.7322,415.19442,78.82167,654.61802,405.89884,81.78037,654.50534,402.41643,81.22176,654.27874,398.85119,81.30699,654.45458,406.0802,37.60866,654.32159,403.06921,36.91382,654.36949,399.81953,36.63326,647.9067,369.02135,119.9128,647.51296,372.4645,-82.91274,613.36089,400.60177,110.19623,613.56819,400.46501,46.09308,586.92416,312.67846,210.10091,578.48252,342.74032,-111.61595,672.21523,440.08428,302.87148,679.68536,474.97936,-308.74106,767.33998,533.39781,117.38589,786.07785,582.8004,-272.8129,796.97568,531.46168,125.16777,821.97392,589.70482,-344.0186,802.64982,536.38225,58.31735,830.33821,579.31356,-295.40264,791.44485,537.55723,90.08451,816.92488,573.51631,-259.25907,319.76254,111.57881,128.45493,303.84679,122.02725,-128.84517,290.45733,347.89479,256.92851,292.48059,372.48651,-102.23788,125.87727,484.41499,350.65083,87.72198,514.15094,-69.52219,81.88431,499.21939,349.159,44.53758,523.21438,-71.54933,188.81867,551.53441,261.65703,161.96244,582.40608,-173.01219
10,downdog,nonstandard,684.32996,537.58603,-27.21867,665.09459,550.6806,-61.17361,660.18988,549.09325,-61.69995,655.88057,547.50501,-61.67604,669.93104,552.48171,-9.00411,668.21178,552.15104,-9.8105,666.38311,551.96824,-10.09725,639.64186,532.71345,-153.26343,648.81935,536.6383,86.23775,680.99976,516.70031,-48.39133,686.18342,520.25533,17.55309,622.56874,447.69691,-208.8906,648.74407,466.59476,200.85987,519.52614,573.65821,-378.24511,577.00831,568.53229,227.92565,400.75279,678.15071,-378.75152,496.57575,651.36876,16.95933,366.81383,689.02473,-432.48243,473.43218,652.68642,2.74108,360.87708,684.60129,-398.94419,468.71769,650.8603,-48.34368,376.24357,683.75543,-365.72689,471.75081,654.62908,-13.48084,849.41784,249.52194,-143.89719,850.08445,280.35075,143.4788,1001.32123,437.43158,-131.48642,988.06872,446.30453,124.63965,1105.33237,630.65173,-123.5558,1077.52891,608.23536,191.96232,1156.38381,670.95353,-132.23423,1117.71805,639.69409,193.56446,1054.05993,698.05999,-249.02792,1036.79357,676.55934,112.49701
101,downdog,nonstandard,126.23625,186.33013,74.00182,121.73274,185.66093,67.12039,121.12899,184.73141,67.01859,120.59897,183.88801,67.04631,122.02449,186.02048,83.16263,121.66752,185.2981,82.97571,121.31943,184.62431,82.94885,116.90681,177.01789,47.32662,118.63263,178.9886,119.89258,127.57207,181.63235,68.37146,128.29503,181.92213,88.65158,124.09152,160.29083,4.78599,143.44498,161.32377,153.91265,112.99708,197.63736,-32.59094,146.58376,196.35757,175.85331,96.74405,229.98794,-41.63637,128.3139,225.3518,139.03004,89.43146,233.01508,-58.16803,120.82567,227.80722,135.3841,88.46375,232.37926,-51.21398,119.57458,227.93228,122.5722,91.71782,231.96938,-38.8143,120.60338,227.63423,131.38126,189.26636,119.40519,-45.23992,202.05823,119.10008,44.98393,225.62814,179.59462,-43.04629,234.3372,176.48597,8.7587,285.51516,227.74122,-78.0858,288.1782,226.52067,-9.65034,295.0296,232.77556,-82.16869,296.72163,231.30276,-11.77527,271.5246,254.63662,-110.57236,277.92435,248.12649,-34.22679
103,downdog,nonstandard,397.59763,290.00041,50.99028,412.3534,291.49231,37.2242,415.55983,287.77343,36.76611,418.56157,284.01834,36.89607,406.4695,297.71259,10.95673,405.31552,298.69631,10.36772,404.21286,299.50604,10.22441,421.4252,267.01543,10.60039,401.30792,289.36991,-114.36385,392.16518,274.23114,58.76777,385.75699,281.02201,18.796,409.5284,190.45955,60.56327,353.84859,262.61947,-101.31349,486.18653,251.81794,232.81649,424.3165,364.63657,-270.89979,569.07648,304.65764,189.40919,524.73456,430.90644,-319.07251,597.00995,303.2673,202.40172,544.40386,451.0943,-378.74924,594.95992,314.78319,149.02917,555.66634,438.34525,-339.84896,584.03569,318.07068,171.52487,551.76534,426.35804,-309.23661,192.78867,51.42141,68.02832,157.34919,95.99794,-68.70847,159.63751,173.58541,370.44994,129.91399,201.98432,211.94851,123.53617,252.87998,640.50832,89.57764,278.28336,442.95757,105.0788,275.88865,660.62414,75.10663,296.84302,460.93599,172.53868,289.00793,584.37089,139.73545,316.48302,380.29346
105,downdog,standard,175.31185,237.01526,-23.66082,182.5392,240.51755,-17.50581,183.36997,240.14992,-17.65157,184.18179,239.78985,-17.63887,182.64115,240.31244,-38.38341,183.52592,239.82915,-38.5399,184.53482,239.2877,-38.64536,190.023,234.16487,13.68733,190.821,233.31385,-81.0228,175.86175,230.62007,-7.32654,176.25189,230.59007,-36.19979,192.71132,210.58146,52.03143,193.03578,208.37936,-109.53474,220.9944,238.23353,67.91189,224.21039,238.98026,-198.59222,255.02447,253.08029,3.4543,259.96024,256.49894,-203.60868,266.42856,256.15167,0.09064,271.68711,260.6239,-226.89747,269.19976,256.02463,-16.52874,273.94101,259.62631,-213.8358,265.57001,255.89629,-5.04557,270.12039,258.83425,-200.36783,137.2935,146.11093,58.22357,134.98931,143.73467,-58.37308,94.2612,198.88497,50.21808,93.51738,198.68187,-59.97982,49.79358,246.82645,68.81093,48.20363,247.53886,-46.2972,40.60295,254.65372,67.78261,38.83498,256.00273,-46.69165,76.14059,261.24699,25.46132,73.24193,263.86469,-96.58065
107,downdog,standard,398.45779,394.50891,-186.53919,383.83297,395.83762,-233.53247,384.14039,394.68818,-233.97462,384.87173,393.33952,-233.92241,381.53499,394.09343,-186.69841,379.88958,392.05537,-187.27207,378.6001,390.3006,-187.42654,387.75041,371.95026,-355.3745,380.64085,373.422,-141.46656,412.06098,379.36592,-215.85272,409.78499,379.77584,-156.65124,446.12062,326.36312,-425.64467,387.53503,305.51299,-4.55115,370.13927,429.61869,-616.90183,321.68375,389.89076,29.60564,274.072,500.16169,-696.89471,234.26712,459.45012,-187.51184,248.7892,513.4367,-783.6663,208.39698,471.66525,-227.34244,238.40926,504.33678,-765.58793,206.72225,474.91566,-277.56304,248.95363,498.34326,-695.11068,220.59034,473.0006,-218.52054,612.86829,158.16953,-156.8997,573.96047,158.57418,156.57332,700.69874,296.28006,106.71505,664.382,297.21285,365.88363,756.39724,429.52185,303.78842,715.34609,409.06832,601.19115,775.53603,451.18854,311.24239,734.08193,434.89991,618.60683,696.17106,461.8469,157.86586,667.96624,449.09461,511.87295
110,downdog,standard,314.14056,433.90119,-83.59547,301.16514,442.56036,-123.85485,299.03204,441.54736,-124.19449,296.88381,440.70017,-124.18174,301.17843,443.11813,-69.44878,299.30035,442.46002,-69.99007,297.24889,441.98309,-70.14223,284.67194,428.01085,-233.22806,285.51566,428.29805,15.99697,314.90482,417.98542,-111.80944,315.8301,418.47813,-42.35237,280.11246,366.45363,-305.33059,284.90143,362.44494,135.33178,206.07815,453.49027,-496.42014,208.73117,444.09118,157.56898,88.52939,504.84182,-522.21321,112.93237,486.44797,-33.77734,65.05309,509.06718,-578.073,80.69205,490.15997,-57.70526,60.85806,506.58123,-556.37629,78.87897,491.19392,-95.58666,68.95582,506.10504,-514.73113,85.66678,490.98905,-59.22656,427.06441,193.26251,-160.48414,427.55826,195.70094,160.17134,549.0706,332.86017,-84.86742,545.68425,329.56372,200.7373,646.14978,472.14037,-71.95909,629.66622,458.7752,334.00361,678.37672,498.20243,-82.11814,654.58752,479.55301,342.17965,585.12484,509.60427,-230.12679,573.50697,496.42565,255.72021
111,downdog,standard,255.2413,365.97012,-39.48266,241.20978,371.75903,-65.27523,239.09172,370.59052,-65.57828,237.36737,369.44733,-65.57359,242.84868,372.31036,-28.67154,241.8329,371.56082,-29.16813,240.76845,370.87375,-29.32581,231.3062,357.19263,-132.09873,233.3608,358.86633,33.13581,258.35027,354.50418,-55.64946,260.28814,355.65283,-9.88591,248.83979,307.36359,-180.70317,249.49009,311.13544,108.15717,206.19499,375.87738,-283.6854,205.97509,380.92096,93.08115,134.52002,443.60791,-260.72224,142.30389,439.26538,-59.0903,110.04598,450.04791,-296.6568,120.58025,443.96417,-78.06507,104.57527,448.02484,-280.62224,116.94965,443.22302,-103.65566,114.21042,445.65436,-254.92078,123.80465,441.35321,-77.22338,375.66291,166.8714,-99.49813,372.1229,177.51579,99.31026,439.22645,293.12927,-31.8873,437.77457,296.5459,93.01759,510.0712,411.07874,18.40932,497.31933,401.77393,160.68624,532.54844,428.36163,16.94393,518.29144,422.71936,164.53641,458.06047,438.5351,-66.12582,450.11417,430.84747,103.88575
112,downdog,standard,278.98489,281.09594,4.31887,270.47479,290.02423,-20.5881,267.67489,289.75679,-20.86164,265.13779,289.23463,-20.79002,271.84776,290.32391,9.71844,269.9003,290.50749,9.17544,267.99578,290.68167,8.99874,250.3326,280.85614,-87.99001,253.37517,281.9523,50.50195,274.30505,265.84147,-11.06511,276.14985,266.97932,27.0451,241.52597,226.61644,-92.522,235.31793,227.97432,87.32386,181.43947,310.94144,-165.5872,186.7233,304.41329,88.3543,109.22725,369.48612,-118.80252,120.59501,355.02245,-27.46864,89.20564,377.41897,-140.90277,100.63566,359.36044,-41.33441,83.77712,376.74507,-124.83384,97.98175,360.93611,-65.51155,92.12915,375.44154,-112.02062,105.11665,360.84561,-42.37627,371.38333,72.21158,-72.43806,360.39976,81.41111,72.25317,434.7075,220.31029,10.93493,421.37806,220.92337,86.98511,502.78425,352.94846,60.0385,487.03748,335.13844,148.46214,521.50323,368.02991,59.27437,504.66808,347.53099,152.83419,443.65904,383.35653,2.90546,437.58381,367.95629,112.18015
